antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,rule_length,antecedents_str,consequents_str,branch
"frozenset({'fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm', 'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})",0.0062000124000248,0.007254014508029016,0.005952011904023808,0.96,132.34051282051283,1.0,0.005907036924124068,24.818649637299252,0.9986352860440451,0.793388429752066,0.9597077192105921,0.8902564102564102,5,"fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm","fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm', 'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})",0.007254014508029016,0.0062000124000248,0.005952011904023808,0.8205128205128205,132.34051282051283,1.0,0.005907036924124068,5.536885645199861,0.9996955408443667,0.793388429752066,0.8193930552156268,0.8902564102564102,5,"fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm","fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm', 'fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})",0.006138012276024552,0.007254014508029016,0.005828011656023312,0.9494949494949495,130.89234222567555,1.0,0.00578348642592257,19.65637051274103,0.9984888706016645,0.7704918032786886,0.9491259080941818,0.8764568764568765,5,"fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm","fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm', 'fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm'})",0.007254014508029016,0.006138012276024552,0.005828011656023312,0.8034188034188035,130.89234222567555,1.0,0.00578348642592257,5.055732720161093,0.9996113287374894,0.7704918032786886,0.8022047336457817,0.8764568764568765,5,"fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm","fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm', 'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})",0.006386012772025544,0.00713001426002852,0.005952011904023808,0.9320388349514563,130.7204727733221,1.0,0.0059064795418945415,14.609372647316729,0.9987279784932817,0.7868852459016393,0.9315507911160259,0.8834107218235543,5,"fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm","fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm', 'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})",0.00713001426002852,0.006386012772025544,0.005952011904023808,0.8347826086956522,130.7204727733221,1.0,0.0059064795418945415,6.013979396379848,0.9994763696349027,0.7868852459016393,0.833720747263957,0.8834107218235543,5,"fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm","fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm', 'fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})",0.006262012524025048,0.00713001426002852,0.005828011656023312,0.9306930693069307,130.53172621609988,1.0,0.005783363417430536,14.325695508533883,0.9985922242458675,0.7704918032786886,0.9301953612371354,0.8740421868273784,5,"fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm","fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm', 'fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm'})",0.00713001426002852,0.006262012524025048,0.005828011656023312,0.8173913043478261,130.53172621609988,1.0,0.005783363417430536,5.4418985028446265,0.999465228563305,0.7704918032786886,0.8162406006879266,0.8740421868273784,5,"fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm","fr wire 180mtr x 1.5sqmm life line black - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm', 'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})",0.006448012896025792,0.00713001426002852,0.005952011904023808,0.9230769230769231,129.4635451505017,1.0,0.005906037480126297,12.907309814619637,0.9987155486219449,0.7804878048780489,0.9225245218126448,0.8789297658862877,5,"fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm","fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm",Babesa Showroom
"frozenset({'fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm'})","frozenset({'fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm', 'fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm', 'fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm'})",0.00713001426002852,0.006448012896025792,0.005952011904023808,0.8347826086956522,129.4635451505017,1.0,0.005906037480126297,6.013604132471425,0.9994015652970318,0.7804878048780489,0.8337103710235366,0.8789297658862877,5,"fr wire 180mtr x 2.5sqmm life line red - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line black - havells - 4 sqmm","fr wire 180mtr x 1.5sqmm life line red - havells - 1.5 sqmm, fr wire 180mtr x 2.5sqmm life line black - havells - 2.5 sqmm, fr wire 180mtr x 4sqmm life line red - havells - 4 sqmm",Babesa Showroom
