date,type,value
1/5/2025,Actual,7193544.07
1/12/2025,Actual,10712072.57
1/19/2025,Actual,8903677.35
1/26/2025,Actual,10628329.91
2/2/2025,Actual,6685509.62
2/9/2025,Actual,13657042.99
2/16/2025,Actual,3595593.33
2/23/2025,Actual,8778183.71
3/2/2025,Actual,12763386.47
3/9/2025,Actual,14283218.75
3/16/2025,Actual,12569568.16
3/23/2025,Actual,15204483.24
3/30/2025,Actual,14089650.46
4/6/2025,Actual,12291610.94
4/13/2025,Actual,10447253.58
4/20/2025,Actual,15868195.04
4/27/2025,Actual,16317327.54
5/4/2025,Actual,12590363.45
5/11/2025,Actual,13428104.28
5/18/2025,Actual,13458645.99
5/25/2025,Actual,17242513.87
6/1/2025,Actual,19445547.45
6/8/2025,Actual,12661723.28
6/15/2025,Actual,16145393.34
6/22/2025,Actual,16958423.29
6/29/2025,Actual,16982098.52
7/6/2025,Actual,11300169.85
7/13/2025,Actual,11299373.87
7/20/2025,Actual,17358032.98
7/27/2025,Actual,15528056.39
8/3/2025,Actual,16005963.5
8/10/2025,Actual,14891494.29
8/17/2025,Actual,13372432.06
8/24/2025,Actual,15631980.04
8/31/2025,Actual,17514376.68
9/7/2025,Actual,11982902.95
9/14/2025,Actual,11446512.45
9/21/2025,Actual,13783829.84
9/28/2025,Actual,12906269.21
10/5/2025,Actual,17243639.05
10/12/2025,Actual,16515341.06
10/19/2025,Actual,24968079.47
10/26/2025,Actual,14789794.52
11/2/2025,Actual,21327964.83
11/9/2025,Actual,12727759.26
11/16/2025,Actual,12501847.07
11/23/2025,Actual,18036663.66
11/30/2025,Actual,20658544.85
12/7/2025,Forecast,13168177
12/14/2025,Forecast,12871572
12/21/2025,Forecast,12629408
12/28/2025,Forecast,12689286
,,
,,
